,Nava Representation,Tokenized Lemmatized
759,"[u'female', u'moon']","[u'female', u'speaker', u'i', u'was', u'over', u'the', u'moon']"
760,"[u'strong', u'healthy', u'pleased', u'punch', u'work']","[u'he', u'was', u'a', u'strong', u'healthy', u'lad', u'and', u'as', u'pleased', u'as', u'punch', u'to', u'be', u'working', u'with', u'dad']"
761,"[u'match', u'day', u'team', u'rapture']","[u'match', u'of', u'the', u'day', u's', u'team', u'as', u'well', u'as', u'his', u'own', u'in', u'raptures']"
762,[u'seventh'],"[u'super', u'steve', u's', u'in', u'seventh', u'heaven']"
763,"[u'bring', u'smile', u'manager', u'thrill', u'bit', u'take', u'lot', u'stick', u'recent']","[u'but', u'it', u'also', u'brought', u'a', u'smile', u'to', u'manager', u'brian', u'horton', u'and', u'i', u'was', u'thrilled', u'to', u'bits', u'for', u'him', u'because', u'he', u'is', u'taken', u'a', u'lot', u'of', u'stick', u'over', u'recent', u'results']"
764,"[u'plumptious', u'tickle', u'pink']","[u'how', u'plumptious', u'i', u'feel', u'and', u'tickled', u'pink']"
765,"[u'sure', u'time', u'life']","[u'but', u'you', u'can', u'be', u'sure', u'that', u'you', u'will', u'have', u'the', u'time', u'of', u'your', u'life']"
766,"[u'say', u'top', u'world']","[u'he', u'said', u'i', u'am', u'on', u'top', u'of', u'the', u'world']"
767,"[u'hour', u'leave', u'pet', u'shop', u'feeling', u'walk', u'air']","[u'an', u'hour', u'later', u'sophie', u'left', u'the', u'pet', u'shop', u'feeling', u'as', u'though', u'she', u'were', u'walking', u'on', u'air']"
768,"[u'go', u'banana', u'get', u'careful']","[u'well', u'no', u'because', u'they', u'just', u'go', u'bananas', u'if', u'you', u'do', u'you', u'have', u'got', u'to', u'be', u'careful']"
769,"[u'use', u'leftover', u'follow', 'not_nuts']","[u'so', u'do', u'not', u'go', u'nuts', u'use', u'those', u'leftovers', u'in', u'the', u'following', u'recipes']"
770,"[u'forget', u'see', u'state', u'rocker', u'waste', u'wrap', u'sod']","[u'don', u't', u'forget', u'i', u'have', u'seen', u'you', u'in', u'some', u'states', u'ruth', u'practically', u'off', u'your', u'rocker', u'wasting', u'away', u'wrapped', u'up', u'in', u'that', u'sod']"
771,"[u'anybody', u'tend', u'get', u'feeling', u'go', u'talk', u'someone', u'go', u'stark', 'not_knowing']","[u'not', u'knowing', u'anybody', u'else', u'you', u'tend', u'to', u'get', u'this', u'feeling', u'that', u'unless', u'you', u'go', u'out', u'and', u'talk', u'to', u'someone', u'you', u'will', u'go', u'stark', u'raving', u'mad']"
772,"[u'apple', u'say', u'conscious', u'freudian']","[u'ok', u'an', u'apple', u'said', u'rufus', u'conscious', u'of', u'his', u'freudian', u'slip']"
773,"[u'skill', u'acquire', u'process', u'error', u'trial', u'assume', u'classical', u'error', u'learn', 'not_random']","[u'skills', u'are', u'acquired', u'by', u'a', u'process', u'of', u'trial', u'and', u'error', u'but', u'the', u'trials', u'are', u'not', u'entirely', u'random', u'as', u'is', u'assumed', u'in', u'classical', u'trial', u'and', u'error', u'learning']"
774,"[u'set', u'wide', u'mark', u'book', u'retaliate', u'latter', u'put', u'late']","[u'he', u'set', u'up', u'whiddett', u'for', u'a', u'header', u'just', u'wide', u'of', u'the', u'mark', u'before', u'being', u'booked', u'with', u'ecchinswell', u's', u'dean', u'nelson', u'for', u'retaliating', u'after', u'the', u'latter', u'had', u'put', u'in', u'a', u'late', u'tackle']"
775,"[u'angry', u'erupt', u'meeting', u'last', u'try', u'gatecrash', u'environmental']","[u'angry', u'scenes', u'erupted', u'at', u'a', u'meeting', u'in', u'darlington', u'last', u'night', u'as', u'the', u'british', u'national', u'party', u'tried', u'to', u'gatecrash', u'an', u'environmental', u'debate']"
776,"[u'overstep', u'mark', u'offer', u'manufacturer', u'right', u'reply']","[u'and', u'if', u'we', u'overstep', u'the', u'mark', u'we', u'offer', u'the', u'manufacturer', u'the', u'right', u'to', u'reply']"
777,"[u'bubble', u'burst', u'flash', u'anger', u'someone', u'argue', u'try', u'speak', u'turn']","[u'only', u'occasionally', u'did', u'the', u'bubble', u'burst', u'and', u'he', u'flashed', u'anger', u'at', u'someone', u'who', u'argued', u'back', u'or', u'tried', u'to', u'speak', u'out', u'of', u'turn']"
778,"[u'australian', u'go', u'ceremony', 'not_stand']","[u'it', u'had', u'an', u'australian', u'squadron', u'when', u'i', u'first', u'went', u'there', u'and', u'the', u'aussies', u'do', u'not', u'stand', u'on', u'ceremony']"
779,"[u'its', u'clatter', u'set', u'alarm', u'bell', u'ring', u'head']","[u'its', u'clatter', u'set', u'alarm', u'bells', u'ringing', u'in', u'her', u'head']"
780,"[u'stop', u'laugh', u'sit', u'floor', u'wall', u'leg']","[u'i', u'stopped', u'laughing', u'and', u'sat', u'on', u'the', u'floor', u'back', u'to', u'the', u'wall', u'legs', u'out', u'straight']"
781,"[u'my', u'telephone', u'blink', u'revamp', u'reception', u'area', u'gather']","[u'my', u'telephone', u's', u'on', u'the', u'blink', u'and', u'we', u'are', u'revamping', u'the', u'reception', u'area', u'as', u'you', u'will', u'have', u'gathered']"
782,"[u'fear', u'return', u'haunt', u'manager', u'carry']","[u'fear', u'returns', u'to', u'haunt', u'us', u'as', u'managers', u'carry', u'the', u'can']"
783,"[u'matter', u'regard', u'come', u'head']","[u'matters', u'regarding', u'the', u'grammar', u'school', u'had', u'come', u'to', u'a', u'head']"
784,"[u'crux', u'matter']","[u'and', u'that', u'is', u'the', u'crux', u'of', u'the', u'matter']"
785,"[u'go', u'tough', u'rough', u'go']","[u'when', u'the', u'going', u'gets', u'tough', u'the', u'rough', u'get', u'going']"
786,"[u'leave', u'high', u'dry', u'debt', u'concerned']","[u'it', u'leaves', u'me', u'high', u'and', u'dry', u'as', u'far', u'as', u'the', u'debt', u's', u'concerned']"
787,"[u'lurch', 'not_leave']","[u'i', u'cannot', u'leave', u'her', u'in', u'the', u'lurch']"
788,"[u'firearm', u'use', u'last']","[u'a', u'firearm', u'is', u'to', u'be', u'used', u'only', u'as', u'a', u'last', u'resort']"
789,"[u'get', u'feeling', u'could', u'murder', u'do']","[u'i', u'got', u'the', u'feeling', u'that', u'there', u'could', u'be', u'murder', u'done']"
790,"[u'interruption', u'knock', u'thought', u'sync']","[u'the', u'interruption', u'had', u'knocked', u'her', u'thoughts', u'out', u'of', u'sync']"
791,"[u'scratch', u'surface']","[u'the', u'above', u'four', u'cases', u'only', u'scratch', u'the', u'surface']"
792,"[u'look', u'go', u'nasty', u'take', u'easy']","[u'if', u'it', u'looks', u'as', u'if', u'it', u'is', u'going', u'to', u'be', u'nasty', u'i', u'take', u'the', u'easy', u'way', u'out']"
793,"[u'full', u'variety', u'try', u'include', u'scalp', u'need', u'bit', u'care']","[u'we', u'have', u'a', u'box', u'full', u'of', u'varieties', u'for', u'you', u'to', u'try', u'including', u'tar', u'baby', u'for', u'scalps', u'in', u'need', u'of', u'a', u'bit', u'of', u'care']"
794,"[u'say', u'minor', u'teething', u'satisfied', u'machine', u'ready', u'production']","[u'mr', u'kelloway', u'says', u'there', u'have', u'only', u'been', u'minor', u'teething', u'problems', u'and', u'he', u'is', u'satisfied', u'the', u'machine', u'is', u'ready', u'for', u'production']"
795,"[u'thorny', u'bolt', u'raise']","[u'but', u'once', u'again', u'the', u'thorny', u'issue', u'of', u'bolts', u'in', u'west', u'penwith', u'is', u'raised']"
796,"[u'careful', u'say', u'solution', u'throw', u'money', u'problem', 'not_was']","[u'though', u'he', u'was', u'careful', u'to', u'say', u'that', u'the', u'solution', u'was', u'not', u'to', u'throw', u'money', u'at', u'problems']"
797,"[u'raid', u'unmitigated']","[u'the', u'raid', u'itself', u'was', u'an', u'unmitigated', u'disaster']"
798,"[u'vicious', u'repressed', u'broken']","[u'the', u'vicious', u'circle', u'of', u'repressed', u'feeling', u'is', u'finally', u'broken']"
799,"[u'play', u'hitch', u'time', u'intense', u'international']","[u'the', u'olympics', u'were', u'played', u'without', u'a', u'hitch', u'at', u'a', u'time', u'of', u'increasingly', u'intense', u'international', u'situations']"
800,"[u'road', u'race', u'concern', u'batten', u'hatch', u'year', u'event', u'self', u'financing']","[u'as', u'far', u'as', u'road', u'races', u'are', u'concerned', u'we', u'are', u'having', u'to', u'financially', u'batten', u'down', u'the', u'hatches', u'this', u'year', u'and', u'all', u'events', u'will', u'be', u'self', u'financing']"
801,[u'calculated'],"[u'it', u'was', u'a', u'calculated', u'risk']"
802,"[u'may', u'throw', u'caution', u'wind', u'try', u'mystery']","[u'you', u'may', u'even', u'throw', u'caution', u'to', u'the', u'wind', u'and', u'try', u'one', u'of', u'our', u'mystery', u'trips']"
803,"[u'polished', u'close', u'much', u'free']","[u'he', u'has', u'polished', u'shoes', u'a', u'close', u'shave', u'and', u'too', u'much', u'pride', u'for', u'a', u'free', u'drink']"
804,"[u'day', u'hundred', u'ordinary', u'dice', u'death', u'complete', u'essential']","[u'but', u'every', u'day', u'hundreds', u'of', u'ordinary', u'workers', u'dice', u'with', u'death', u'to', u'complete', u'these', u'essential', u'tasks']"
805,"[u'seem', u'straight', u'knuckle', u'poise', u'tense', u'wait', u'know', u'false', u'trigger', u'electrifying']","[u'it', u'seems', u'to', u'be', u'looking', u'straight', u'at', u'me', u'its', u'knuckled', u'legs', u'poised', u'tense', u'waiting', u'i', u'know', u'for', u'one', u'false', u'move', u'from', u'me', u'to', u'trigger', u'it', u'into', u'an', u'electrifying', u'spring', u'straight', u'at', u'me']"
806,"[u'classic', u'american', u'reduce', u'million', u'handful', u'individual', u'save', u'extinction', u'hair', u'breadth']","[u'the', u'classic', u'case', u'is', u'that', u'of', u'the', u'american', u'bison', u'reduced', u'from', u'millions', u'to', u'a', u'handful', u'of', u'individuals', u'and', u'saved', u'from', u'extinction', u'by', u'a', u'hair', u's', u'breadth']"
807,"[u'first', u'try', u'elastic', u'wrist', u'terrified', u'wonder', u'would', u'live', u'tell', u'tale', u'work']","[u'the', u'first', u'time', u'he', u'tried', u'it', u'with', u'elastic', u'supports', u'round', u'his', u'wrists', u'anne', u'heaton', u'was', u'terrified', u'and', u'wondered', u'whether', u'she', u'would', u'live', u'to', u'tell', u'the', u'tale', u'but', u'it', u'worked']"
808,"[u'proceed', u'caution', u'risk', u'sound', u'tabloid', u'astrologer', u'look', u'leap']","[u'proceed', u'with', u'caution', u'and', u'at', u'the', u'risk', u'of', u'sounding', u'like', u'a', u'tabloid', u'astrologer', u'look', u'before', u'you', u'leap']"
809,"[u'war', u'take', u'unfortunate', u'unionist', u'saw', u'play', u'fire', u'national', u'view', 'not_alter']","[u'the', u'war', u'took', u'away', u'the', u'unfortunate', u'necessity', u'as', u'unionists', u'saw', u'it', u'to', u'play', u'with', u'fire', u'in', u'the', u'national', u'interest', u'but', u'it', u'did', u'not', u'materially', u'alter', u'their', u'view', u'of', u'themselves']"
810,"[u'arrive', u'safe']","[u'ambulances', u'arrived', u'ivor', u'and', u'pauline', u'were', u'in', u'safe', u'hands']"
811,"[u'make', u'half', u'safe']","[u'ok', u'we', u'will', u'make', u'it', u'half', u'eight', u'just', u'to', u'be', u'on', u'the', u'safe', u'side']"
812,"[u'there', u'note', u'number', u'anything', 'not_safety']","[u'there', u'is', u'as', u'james', u'thurber', u'sagely', u'noted', u'no', u'safety', u'in', u'numbers', u'or', u'in', u'anything', u'else']"
813,"[u'less', u'future', u'mankind', u'stake']","[u'nothing', u'less', u'than', u'the', u'future', u'of', u'mankind', u'is', u'at', u'stake']"
814,"[u'watch', u'step']","[u'but', u'watch', u'your', u'step', u'kit']"
815,"[u'mind', u'choose', u'opt', u'wink', u'sunlounger', 'not_one']","[u'but', u'no', u'one', u'will', u'mind', u'if', u'you', u'choose', u'to', u'opt', u'for', u'another', u'forty', u'winks', u'on', u'your', u'sunlounger']"
816,"[u'begin', u'try', u'frame', u'lie', u'mind', u'could', 'not_think']","[u'jo', u'began', u'frantically', u'to', u'try', u'frame', u'a', u'lie', u'in', u'her', u'mind', u'but', u'she', u'could', u'not', u'think', u'clearly']"
817,"[u'minute', u'go', u'light']","[u'a', u'minute', u'later', u'he', u'went', u'out', u'like', u'a', u'light']"
818,"[u'sleep', u'log', u'indigestion', 'not_get']","[u'i', u'sleep', u'like', u'a', u'log', u'and', u'never', u'get', u'indigestion']"
819,[u'sleep'],"[u'ah', u'well', u'sleep', u'on', u'it']"
820,"[u'reject', u'level', u'square', u'disadvantage']","[u'rejected', u'at', u'that', u'level', u'he', u'was', u'back', u'to', u'square', u'one', u'at', u'a', u'disadvantage']"
821,"[u'think', u'surprise', u'bag', u'bring']","[u'i', u'think', u'er', u'there', u'is', u'a', u'surprise', u'in', u'the', u'bag', u'fred', u'brought']"
822,"[u'policy', u'bear', u'fruit', u'spring', 'not_expected']","[u'the', u'chancellor', u's', u'policies', u'are', u'not', u'expected', u'to', u'bear', u'fruit', u'until', u'the', u'spring']"
823,"[u'publisher', u'film', u'maker', u'beat', u'door', u'blockbuster']","[u'publishers', u'and', u'film', u'makers', u'are', u'already', u'beating', u'his', u'door', u'down', u'for', u'blockbuster', u'number', u'two']"
824,"[u'grant', u'ensure', u'play', u'put', u'former', u'bring', u'house', 'not_longer']","[u'a', u'grant', u'from', u'the', u'theatre', u'trust', u'should', u'ensure', u'plays', u'put', u'on', u'in', u'the', u'former', u'church', u'now', u'saltburn', u's', u'community', u'centre', u'no', u'longer', u'literally', u'bring', u'the', u'house', u'down']"
825,"[u'case', u'many', u'combination', u'come', u'grief', u'last']","[u'this', u'is', u'often', u'far', u'from', u'the', u'case', u'and', u'many', u'a', u'combination', u'has', u'come', u'to', u'grief', u'at', u'the', u'very', u'last', u'fence']"
826,"[u'soup', u'meat', u'cheese', u'man', u'back', u'come', u'world']","[u'innes', u'mcinnes', u'was', u'obviously', u'a', u'soup', u'meat', u'cheese', u'man', u'from', u'way', u'back', u'but', u'had', u'come', u'up', u'in', u'the', u'world']"
827,"[u'start', u'dead', u'yet', u'beat']","[u'of', u'course', u'carvill', u's', u'hill', u'started', u'off', u'a', u'dead', u'cert', u'yet', u'he', u'limped', u'home', u'badly', u'beaten']"
828,"[u'water', u'small', u'laugh', u'face']","[u'we', u're', u'dead', u'in', u'the', u'water', u'small', u'children', u'laugh', u'in', u'our', u'faces']"
829,"[u'year', u'old', u'convent', u'educated', u'pass', u'flying', u'colour']","[u'fortunately', u'like', u'the', u'other', u'tests', u'the', u'31', u'year', u'old', u'convent', u'educated', u'beauty', u'passed', u'with', u'flying', u'colours']"
830,"[u'make', u'one', u'cent', u'chance', u'fool', u'errand', u'uphill', u'way', u'arrive', u'hot', u'sticky', u'would', u'taxi', u'walk', 'not_was', 'not_want']","[u'the', u'other', u'decision', u'she', u'made', u'was', u'that', u'on', u'the', u'one', u'per', u'cent', u'chance', u'that', u'it', u'was', u'not', u'a', u'fool', u's', u'errand', u'she', u'was', u'on', u'since', u'it', u'was', u'uphill', u'for', u'most', u'of', u'the', u'way', u'and', u'she', u'did', u'not', u'want', u'to', u'arrive', u'hot', u'and', u'sticky', u'she', u'would', u'take', u'a', u'taxi', u'up', u'and', u'walk', u'down']"
831,"[u'month', u'go', u'smoke', 'not_worked']","[u'we', u'have', u'not', u'worked', u'all', u'these', u'months', u'to', u'have', u'it', u'go', u'up', u'in', u'smoke', u'now']"
832,"[u'get', u'make']","[u'yup', u'i', u'have', u'got', u'it', u'made']"
833,"[u'irish', u'sweep', u'power', u'landslide', u'victory']","[u'a', u'quebecker', u'of', u'irish', u'descent', u'mr', u'mulroney', u'swept', u'to', u'power', u'in', u'1984', u'in', u'a', u'landslide', u'victory']"
834,"[u'come', u'long', u'elder', u'family', u'time']","[u'he', u'had', u'come', u'a', u'long', u'way', u'with', u'the', u'elder', u'as', u'had', u'his', u'family', u'from', u'time', u'immemorial']"
835,"[u'come', u'lad', u'low', u'ocean', u'bed']","[u'he', u'came', u'in', u'when', u'the', u'lads', u'were', u'at', u'a', u'low', u'ebb', u'somewhere', u'on', u'the', u'ocean', u'bed']"
836,"[u'have', u'answer', u'would', u'make', u'cut', u'prove', u'capable', u'deny', u'one', u'major']","[u'having', u'answered', u'his', u'own', u'question', u'of', u'whether', u'he', u'would', u'make', u'the', u'cut', u'he', u'proved', u'himself', u'capable', u'of', u'denying', u'the', u'one', u'that', u'he', u'was', u'a', u'one', u'major', u'wonder']"
837,"[u'father', u'ability', u'make', u'go', u'anything', 'not_faith']","[u'but', u'father', u'had', u'no', u'faith', u'in', u'my', u'ability', u'to', u'make', u'a', u'go', u'of', u'anything']"
838,"[u'believe', u'mp', u'could', u'make', u'killing', u'know', u'likely', u'vote']","[u'they', u'believe', u'mps', u'could', u'make', u'a', u'killing', u'as', u'they', u'will', u'know', u'the', u'likely', u'outcome', u'before', u'the', u'vote']"
839,"[u'keeper', u'face', u'make', u'break', u'decision']","[u'keepers', u'face', u'make', u'or', u'break', u'decisions']"
840,"[u'form', u'law', u'thing', u'tend', u'go']","[u'in', u'other', u'words', u'it', u'is', u'a', u'form', u'of', u'murphy', u's', u'law', u'things', u'always', u'tend', u'to', u'go', u'wrong']"
841,"[u'leave', u'feeling', 'not_getting']","[u'they', u'were', u'left', u'with', u'the', u'feeling', u'of', u'not', u'getting', u'anywhere']"
842,"[u'clothing', u'would', u'pass', u'muster', u'door', u'others', u'crowd', u'outlandish', u'uncivilised', 'not_sure']","[u'i', u'was', u'not', u'sure', u'that', u'our', u'clothing', u'would', u'pass', u'muster', u'at', u'the', u'doors', u'but', u'others', u'in', u'the', u'crowd', u'were', u'even', u'more', u'outlandish', u'and', u'uncivilised']"
843,"[u'pyrrhic', u'cricket', u'loser']","[u'this', u'was', u'indeed', u'a', u'pyrrhic', u'victory', u'because', u'west', u'indies', u'cricket', u'was', u'assuredly', u'the', u'loser']"
844,"[u'present', u'rid', u'chart', u'dread']","[u'the', u'present', u'rendezvous', u'had', u'been', u'riding', u'high', u'on', u'my', u'chart', u'of', u'dreads']"
845,"[u'fact', u'try', u'rise', u'occasion', u'worth', u'precious']","[u'the', u'fact', u'that', u'scotland', u'tried', u'to', u'rise', u'to', u'the', u'occasion', u'was', u'worth', u'more', u'than', u'just', u'two', u'precious', u'points']"
846,"[u'match', u'price', u'run', u'ring', u'around', u'old', u'performance']","[u'hp', u'has', u'matched', u'ibm', u'corp', u'prices', u'but', u'can', u'run', u'rings', u'around', u'old', u'blue', u'on', u'performance']"
847,"[u'think', u'fortunate', u'sail', u'unaffected']","[u'marie', u'brown', u'thought', u'she', u'was', u'one', u'of', u'the', u'fortunate', u'ones', u'to', u'sail', u'through', u'unaffected']"
848,"[u'come', u'save', u'day']","[u'captain', u'tony', u'wright', u'came', u'in', u'to', u'save', u'the', u'day']"
849,"[u'sink', u'swim']","[u'he', u'll', u'have', u'to', u'sink', u'or', u'swim']"
850,"[u'search', u'find', u'top', u'entry', u'collie', u'german', u'poodle']","[u'and', u'the', u'search', u'is', u'on', u'to', u'find', u'the', u'top', u'dog', u'among', u'an', u'entry', u'of', u'eight', u'hundred', u'collies', u'german', u'shepherds', u'and', u'even', u'poodles']"
851,"[u'huge', u'wooden', u'protrude', u'cauldron']","[u'a', u'huge', u'wooden', u'spoon', u'protruded', u'from', u'the', u'cauldron']"
852,"[u'order', u'come', u'bolt', u'blue', u'grateful']","[u'this', u'order', u'came', u'like', u'a', u'bolt', u'from', u'the', u'blue', u'and', u'i', u'am', u'very', u'grateful', u'for', u'it']"
853,[u'blue'],"[u'it', u'was', u'completely', u'out', u'of', u'the', u'blue']"
854,"[u'his', u'jaw', u'drop']","[u'his', u'jaw', u'dropped']"
855,"[u'unexpected', u'deep', u'come', u'somewhere', u'make', u'jump', u'skin']","[u'the', u'unexpected', u'sound', u'of', u'the', u'deep', u'voice', u'suddenly', u'coming', u'from', u'somewhere', u'beside', u'her', u'made', u'laura', u'almost', u'jump', u'out', u'of', u'her', u'skin']"
856,"[u'pull', u'behold', u'water', u'bucket']","[u'she', u'pulled', u'it', u'up', u'again', u'and', u'lo', u'and', u'behold', u'there', u'was', u'water', u'in', u'the', u'bucket']"
857,"[u'hop', u'growth', u'income', u'tourism', u'depend', u'part', u'remove', u'smell', u'haunt', u'many', u'north', u'twitch', u'nose', u'raise', u'eyebrow']","[u'everywhere', u'in', u'greece', u'the', u'hoped', u'for', u'growth', u'of', u'income', u'from', u'tourism', u'depends', u'in', u'part', u'on', u'removing', u'the', u'smells', u'that', u'haunt', u'too', u'many', u'beaches', u'and', u'other', u'places', u'where', u'north', u'europeans', u'twitch', u'noses', u'and', u'raise', u'eyebrows']"
858,"[u'find', u'root', u'spot', u'disbelief', u'watch', u'threshing', u'daughter']","[u'ashi', u'found', u'herself', u'rooted', u'to', u'the', u'spot', u'in', u'disbelief', u'as', u'she', u'watched', u'the', u'threshing', u'legs', u'of', u'her', u'daughter']"
859,"[u'talk', u'see', u'believe']","[u'talk', u'about', u'seeing', u'is', u'believing']"
860,"[u'satisfaction', u'see', u'chief', u'strike', u'dumb']","[u'simon', u'had', u'the', u'satisfaction', u'of', u'seeing', u'the', u'chief', u'inspector', u'momentarily', u'struck', u'dumb']"
861,"[u'predict', u'mean', u'free']","[u'mr', u'west', u'predicts', u'that', u'january', u'1', u'will', u'mean', u'a', u'free', u'for', u'all']"
862,"[u'wait', u'thousand', u'year', u'muster', u'number', u'require', u'tip', u'knife', u'edge', u'population', u'flip']","[u'but', u'if', u'we', u'wait', u'long', u'enough', u'perhaps', u'thousands', u'of', u'years', u'tit', u'for', u'tat', u'will', u'eventually', u'muster', u'the', u'numbers', u'required', u'to', u'tip', u'it', u'over', u'the', u'knife', u'edge', u'and', u'the', u'population', u'will', u'flip']"
863,"[u'imagine', u'brass', u'band', u'meet', u'colonel', u'middle', u'bog', u'whole', u'arm']","[u'imagine', u'having', u'a', u'brass', u'band', u'meet', u'a', u'colonel', u'in', u'the', u'middle', u'of', u'the', u'bogs', u'with', u'the', u'whole', u'countryside', u'up', u'in', u'arms']"
864,[u'nothing'],"[u'no', u'jack', u'absolutely', u'nothing', u'doing']"
865,"[u'public', u'risk', u'odds', u'objective', u'use', u'engineer']","[u'however', u'public', u'perception', u'of', u'risk', u'is', u'often', u'at', u'odds', u'with', u'the', u'objective', u'measures', u'used', u'by', u'engineers']"
866,"[u'give', u'athlete', u'olive', u'symbol', u'peace']","[u'they', u'gave', u'every', u'athlete', u'an', u'olive', u'branch', u'as', u'a', u'symbol', u'of', u'peace']"
867,"[u'big', u'question', u'little', u'little', u'wet', u'miserable']","[u'a', u'big', u'peak', u'was', u'out', u'of', u'the', u'question', u'it', u'was', u'a', u'little', u'too', u'late', u'a', u'little', u'too', u'wet', u'and', u'miserable']"
868,"[u'claim', u'try', u'pick', u'fight', u'toilet', u'function', u'unsuccessful']","[u'he', u'claims', u'that', u'the', u'ex', u'celt', u'tried', u'to', u'pick', u'a', u'fight', u'with', u'him', u'in', u'the', u'toilets', u'at', u'a', u'function', u'after', u'manchester', u'united', u's', u'unsuccessful', u'fa', u'cup', u'final', u'against', u'southampton', u'in', u'1976']"
869,"[u'date', u'simple', u'pick', u'hole']","[u'to', u'date', u'it', u'is', u'been', u'reasonably', u'simple', u'to', u'pick', u'holes', u'in', u'there']"
870,"[u'failure', u'agree', u'basic', u'care', u'refugee', u'child', u'start', u'run', u'liberal', u'orthodox', u'last', u'war']","[u'failure', u'to', u'agree', u'on', u'the', u'basic', u'principles', u'of', u'caring', u'for', u'refugee', u'children', u'started', u'a', u'running', u'battle', u'between', u'liberal', u'and', u'orthodox', u'exponents', u'of', u'judaism', u'which', u'lasted', u'throughout', u'the', u'war', u'and', u'beyond']"
871,"[u'need', u'clear', u'air', u'get', u'deep', u'seated', u'worry', u'chest']","[u'you', u'need', u'to', u'clear', u'the', u'air', u'and', u'get', u'deep', u'seated', u'anxieties', u'and', u'worries', u'off', u'your', u'chest', u'saturday']"
872,"[u'feel', u'dead', u'set', u'idea', u'new', u'cut', u'swathe', u'countryside']","[u'feeling', u'was', u'dead', u'set', u'against', u'the', u'idea', u'of', u'a', u'new', u'road', u'cutting', u'a', u'swathe', u'through', u'the', u'countryside']"
873,"[u'play', u'devil', u'advocate', u'presentation', u'try', u'knock', u'piece']","[u'somehow', u'you', u'have', u'to', u'play', u'devil', u's', u'advocate', u'against', u'your', u'presentation', u'and', u'try', u'to', u'knock', u'it', u'to', u'pieces']"
874,"[u'staff', u'tiptoe', u'room', u'night', u'let', u'sleep', u'lie']","[u'staff', u'tiptoe', u'past', u'your', u'room', u'at', u'night', u'so', u'as', u'to', u'let', u'sleeping', u'dogs', u'lie']"
875,"[u'little', u'scared', u'curious', u'ready', u'argue', u'toss', u'anyone', u'pass', u'person', u'person', u'many', u'parcel']","[u'a', u'little', u'scared', u'very', u'curious', u'ravenously', u'hungry', u'and', u'ready', u'to', u'argue', u'the', u'toss', u'with', u'anyone', u'after', u'being', u'passed', u'from', u'person', u'to', u'person', u'like', u'so', u'many', u'yards', u'of', u'parcelled', u'muslin']"
876,"[u'hell', u'break']","[u'then', u'all', u'hell', u'broke', u'loose']"
877,"[u'refuse', u'use', u'lavatory', u'battle', u'will', u'parent', u'fight', u'power', u'control']","[u'refusing', u'to', u'use', u'the', u'lavatory', u'in', u'a', u'battle', u'of', u'wills', u'with', u'the', u'parent', u'and', u'a', u'fight', u'for', u'power', u'and', u'control']"
878,"[u'his', u'stomach', u'churn', u'know', u'could', u'elude', u'could', u'calm', u'call', u'bluff']","[u'his', u'stomach', u'was', u'churning', u'but', u'he', u'knew', u'he', u'could', u'elude', u'her', u'if', u'only', u'he', u'could', u'remain', u'calm', u'and', u'call', u'her', u'bluff']"
879,"[u'would', u'father', u'mother', u'would', u'sure', u'arm', 'not_ask']","[u'i', u'would', u'not', u'ask', u'your', u'father', u'but', u'your', u'mother', u'would', u'i', u'am', u'sure', u'be', u'up', u'in', u'arms']"
880,"[u'love', u'please', u'get', u'back']","[u'for', u'the', u'love', u'of', u'mike', u'candy', u'will', u'you', u'please', u'get', u'off', u'my', u'back', u'about', u'adam', u'burns']"
881,"[u'black', u'try', u'pretend', u'want', u'go']","[u'alain', u'was', u'in', u'a', u'black', u'mood', u'and', u'marguerite', u'was', u'trying', u'hard', u'to', u'pretend', u'she', u'wanted', u'to', u'go', u'back', u'to', u'paris']"
882,"[u'cheese', u'leave', u'action', u'long']","[u'and', u'really', u'cheesed', u'off', u'about', u'being', u'left', u'out', u'of', u'the', u'action', u'for', u'so', u'long']"
883,"[u'watch', u'fee', u'cry', 'not_watched']","[u'yes', u'you', u'do', u'watch', u'their', u'fees', u'but', u'they', u'have', u'not', u'watched', u'yours', u'for', u'crying', u'out', u'loud', u'it', u'is', u'quite', u'obviously']"
884,"[u'black', u'dollar', u'nervous', u'roof', 'not_go']","[u'the', u'black', u'market', u'dollar', u'brazil', u's', u'most', u'nervous', u'index', u'did', u'not', u'go', u'through', u'the', u'roof']"
885,"[u'bbc1', u'controversial', u'minute', u'guaranteed', u'get', u'law', u'order', u'brigade', u'hot', u'collar']","[u'black', u'and', u'blue', u'is', u'bbc1', u's', u'controversial', u'90', u'minute', u'drama', u'guaranteed', u'to', u'get', u'the', u'law', u'and', u'order', u'brigade', u'hot', u'under', u'the', u'collar']"
886,"[u'frightened', u'quick', u'reason', u'form', u'favourable', u'judgement']","[u'he', u'was', u'plainly', u'frightened', u'of', u'her', u'because', u'of', u'her', u'quick', u'temper', u'and', u'also', u'because', u'he', u'had', u'for', u'a', u'number', u'of', u'reasons', u'formed', u'a', u'most', u'favourable', u'view', u'of', u'her', u'judgement']"
887,"[u'go', u'scream', u'blue', u'goat', u'make', u'ashamed', u'sorry']","[u'we', u'will', u'all', u'go', u'and', u'scream', u'blue', u'murder', u'at', u'the', u'goats', u'and', u'make', u'them', u'thoroughly', u'ashamed', u'and', u'sorry', u'for', u'themselves']"
